ticket_id,text,category
1,"Hi!!! support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all. Please respond asap!!!",Technical
2,"Hi support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all. Thanks...",Technical
3,"Hi!!!, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account? Please respond asap!!!",Account
4,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through. Please respond asap!!!,Billing
5,"HELLO support, my delivery was supposed to arrive yesterday. But nothing showed up at my address yet. Could you check with the courier and update me please. Thanks...",Delivery
6,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened.,Delivery
7,"Hi!!! support team, I returned a jacket last week. According to the policy I should have received the refund already. But there is NOTHING in my bank account yet. Please respond asap!!!",Refund
8,"Hello team, the headphones I purchased stopped working already. It's been only three days since delivery. Can you help with replacement or warranty?",Product Issue
9,"Hi, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account?",Account
10,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund. Please respond asap!!!,Refund
11,"Hi support team, I returned a jacket last week. According to the policy I should have received the refund already. But there is NOTHING in my bank account yet.",Refund
12,I recently changed my email address. Now I cannot log into my shopping account anymore. What should I do to fix this issue?,Account
13,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon. Thanks...,Technical
14,"Hi!!! support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all.",Technical
15,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund.,Refund
16,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount?",Billing
17,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount?",Billing
18,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened.,Delivery
19,"HELLO support, my delivery was supposed to arrive yesterday. But nothing showed up at my address yet. Could you check with the courier and update me please. Please respond asap!!!",Delivery
20,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
21,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened.,Delivery
22,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened. Please respond asap!!!,Delivery
23,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
24,"Hi!!! there, I received my order today from your retail store. Unfortunately the product is damaged and has scratches on it. This is NOT what I expected, please advise.",Product Issue
25,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund. Thanks...,Refund
26,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through.,Billing
27,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened.,Delivery
28,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
29,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available?,Product Issue
30,"Hi, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened??",Billing
31,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount? Thanks...",Billing
32,"Hi, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account? Thanks...",Account
33,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon.,Technical
34,"Hello team, the headphones I purchased stopped working already. It's been only three days since delivery. Can you help with replacement or warranty?",Product Issue
